n,vn,an0,an1,an2,an3,an4
20,-0.328655867241906,10.32247413797460,41853.0065888535,3.28864892534011E-04,7.41466189907290E-07,-3.76680837674865E-09
21,0.001529952745211,13.57828462478880,58719.9389038367,2.00852561781044E-04,7.30775757350616E-07,-3.82566475763534E-09
22,-0.003539956698595,6.16640771473298,16447.8333835106,7.37181961802271E-04,1.01356592917529E-06,-4.88507961359590E-09
23,1.933682398463610,9.42221820154721,33314.7656984938,6.09169631049304E-04,1.00287549661861E-06,-4.94393599448260E-09
24,-0.026019715403432,12.67802868836140,50181.6980134770,4.81157300296337E-04,9.92185064061945E-07,-5.00279237536930E-09
25,0.000159996995125,15.93383917517560,67048.6303284602,3.53144969543370E-04,9.81494631505271E-07,-5.06164875625599E-09
26,-0.000229997859548,8.52196226511979,24776.5248081340,8.89474369564598E-04,1.26428480332994E-06,-6.12106361221655E-09
27,0.111000888553804,11.77777275193400,41643.4571231172,7.61462038811630E-04,1.25359437077327E-06,-6.17991999310325E-09
28,-0.002009980735928,15.03358323874820,58510.3894381004,6.33449708058663E-04,1.24290393821659E-06,-6.23877637398995E-09
29,0.000020000000000,18.28939372556240,75377.3217530836,5.05437377305696E-04,1.23221350565992E-06,-6.29763275487665E-09
30,-0.000020000000000,10.87751681550650,33105.2162327574,1.04176677732692E-03,1.51500367748460E-06,-7.35704761083720E-09
31,0.006650063103698,14.13332730232080,49972.1485477407,9.13754446573957E-04,1.50431324492792E-06,-7.41590399172390E-09
32,-0.000150001728846,17.38913778913500,66839.0808627239,7.85742115820989E-04,1.49362281237125E-06,-7.47476037261060E-09
33,0.000410004322114,16.48888185270760,58300.8399723641,1.06604685433628E-03,1.75503211908258E-06,-8.65188799034455E-09
34,-0.000010000000000,19.74469233952180,75167.7722873473,9.38034523583316E-04,1.74434168652590E-06,-8.71074437123125E-09
35,0.000030000000000,18.84443640309440,66629.5313969876,1.21833926209860E-03,2.00575099323723E-06,-9.88787198896520E-09
36,-0.000020000000000,-16.53200754056410,-57672.5380171500,-1.06871073582919E-03,-1.75441572696842E-06,8.59744826209276E-09
37,-0.000239996457951,-14.17645299017730,-49343.8465925266,-9.16418328066865E-04,-1.50369685281376E-06,7.36146426347211E-09
38,0.000060000000000,-15.07670892660470,-57882.0874828863,-6.36113589551572E-04,-1.24228754610243E-06,6.18433664573816E-09
39,-0.003319903223422,-11.82089843979050,-41015.1551679031,-7.64125920304539E-04,-1.25297797865911E-06,6.12548026485146E-09
40,0.000639968172534,-12.72115437621790,-49553.3960582629,-4.83821181789246E-04,-9.91568671947782E-07,4.94835264711751E-09
41,-0.047018577037686,-9.46534388940374,-32686.4637432797,-6.11833512542213E-04,-1.00225910450445E-06,4.88949626623081E-09
42,0.000070000000000,-6.20953340258951,-15819.5314282965,-7.39845843295180E-04,-1.01294953706113E-06,4.83063988534411E-09
43,-0.000030000000000,-13.62141031264530,-58091.6369486226,-2.03516443273952E-04,-7.30159365236453E-07,3.77122502938355E-09
44,0.006229694037459,-10.36559982583110,-41224.7046336394,-3.31528774026919E-04,-7.40849797793127E-07,3.71236864849686E-09
45,-0.669378701499579,-7.10978933901693,-24357.7723186562,-4.59541104779887E-04,-7.51540230349801E-07,3.65351226761016E-09
46,0.001059942891993,-3.85397885220271,-7490.8400036731,-5.87553435532854E-04,-7.62230662906475E-07,3.59465588672346E-09
47,-0.000169986126087,-11.26585576225850,-49762.9455239992,-5.12240355116264E-05,-4.79440491081798E-07,2.53524103076290E-09
48,0.051647381444882,-8.01004527544435,-32896.0132090160,-1.79236366264593E-04,-4.90130923638472E-07,2.47638464987621E-09
49,-9.679056547194010,-4.75423478863013,-16029.0808940328,-3.07248697017560E-04,-5.00821356195146E-07,2.41752826898951E-09
50,0.024288759392986,-1.49842430181591,837.8514209504,-4.35261027770528E-04,-5.11511788751820E-07,2.35867188810281E-09
51,-0.000040000000000,1.75738618499831,17704.7837359335,-5.63273358523495E-04,-5.22202221308494E-07,2.29981550721611E-09
52,-0.000629953106949,-8.91030121187178,-41434.2540993757,1.01068372250699E-04,-2.28721616927144E-07,1.29925703214225E-09
53,0.301554236504368,-5.65449072505755,-24567.3217843925,-2.69439585022674E-05,-2.39412049483818E-07,1.24040065125555E-09
54,-147.321381843621000,-2.39868023824333,-7700.3894694094,-1.54956289255234E-04,-2.50102482040492E-07,1.18154427036886E-09
55,-0.080485758387156,0.85713024857089,9166.5428455738,-2.82968620008201E-04,-2.60792914597166E-07,1.12268788948216E-09
56,0.000129996130702,4.11294073538511,26033.4751605570,-4.10980950761169E-04,-2.71483347153839E-07,1.06383150859546E-09
57,-0.000229986126504,-6.55474666148497,-33105.5626747523,2.53360780013025E-04,2.19972572275105E-08,6.32730335216056E-11
58,0.075006161138150,-3.29893617467075,-16238.6303597691,1.25348449260058E-04,1.13068246708365E-08,4.41665263490790E-12
59,-666.417535552458000,-0.04312568785653,628.3019552141,-2.66388149290851E-06,6.16392114162664E-10,-5.44397282517898E-11
60,0.413397913523942,3.21268479895769,17495.2342701972,-1.30676212245875E-04,-1.00740404425112E-08,-1.13296109138487E-10
61,-0.000829942238328,6.46849528577191,34362.1665851804,-2.58688542998842E-04,-2.07644729991852E-08,-1.72152490025185E-10
62,0.000109996130702,-4.19919211109817,-24776.8712501288,4.05653187775352E-04,2.72716131382165E-07,-1.17271096509904E-09
63,-0.082815649505434,-0.94338162428395,-7909.9389351457,2.77640857022384E-04,2.62025698825491E-07,-1.23156734598574E-09
64,-109.380361966059000,2.31242886253027,8956.9933798375,1.49628526269417E-04,2.51335266268817E-07,-1.29042372687244E-09
65,0.263366245353155,5.56823934934449,25823.9256948207,2.16161955164504E-05,2.40644833712143E-07,-1.34928010775913E-09
66,-0.000619953107366,8.82404983615871,42690.8580098039,-1.06396135236516E-04,2.29954401155469E-07,-1.40813648864583E-09
67,-0.000030000000000,-1.84363756071137,-16448.1798255054,5.57945595537678E-04,5.23435005536820E-07,-2.40869496371969E-09
68,0.026768637836638,1.41217292610285,418.7524894778,4.29933264784711E-04,5.12744572980146E-07,-2.46755134460639E-09
69,-7.630155134822930,4.66798341291707,17285.6848044609,3.01920934031743E-04,5.02054140423472E-07,-2.52640772549309E-09
70,0.043377801050622,7.92379389973129,34152.6171194441,1.73908603278776E-04,4.91363707866798E-07,-2.58526410637978E-09
71,-0.000149996130702,11.17960438654550,51019.5494344273,4.58962725258094E-05,4.80673275310124E-07,-2.64412048726648E-09
72,0.001659915469748,3.76772747648965,8747.4439141012,5.82225672547037E-04,7.63463447134800E-07,-3.70353534322704E-09
73,-0.545922640872033,7.02353796330387,25614.3762290844,4.54213341794070E-04,7.52773014578126E-07,-3.76239172411374E-09
74,0.005259739740089,10.27934845011810,42481.3085440676,3.26201011041102E-04,7.42082582021452E-07,-3.82124810500044E-09
75,-0.000030000000000,13.53515893693230,59348.2408590508,1.98188680288135E-04,7.31392149464778E-07,-3.88010448588713E-09
76,0.000140000864423,6.12328202687645,17076.1353387246,7.34518080309363E-04,1.01418232128945E-06,-4.93951934184769E-09
77,-0.039468807322558,9.37909251369068,33943.0676537078,6.06505749556396E-04,1.00349188873278E-06,-4.99837572273439E-09
78,0.000549977312727,12.63490300050490,50809.9999686910,4.78493418803429E-04,9.92801456176107E-07,-5.05723210362109E-09
79,0.000010000000000,8.47883657726325,25404.8267633481,8.86810488071689E-04,1.26490119544411E-06,-6.17550334046834E-09
80,-0.002869918172099,11.73464706407740,42271.7590783313,7.58798157318722E-04,1.25421076288743E-06,-6.23435972135504E-09
81,0.000050000000000,14.99045755089170,59138.6913933145,6.30785826565755E-04,1.24352033033076E-06,-6.29321610224174E-09
82,-0.000209995593528,14.09020161446420,50600.4505029547,9.11090565081048E-04,1.50492963704209E-06,-7.47034371997569E-09
83,-0.000020000000000,16.44575616485100,58929.1419275782,1.06338297284337E-03,1.75564851119674E-06,-8.70632771859634E-09
84,-0.000089993864683,-11.86402412764700,-40386.8532126891,-7.66789801797447E-04,-1.25236158654494E-06,6.07104053659967E-09
85,0.000020000000000,-12.76428006407440,-48925.0941030488,-4.86485063282154E-04,-9.90952279833619E-07,4.89391291886572E-09
86,-0.001189921883697,-9.50846957726027,-32058.1617880656,-6.14497394035121E-04,-1.00164271239029E-06,4.83505653797902E-09
87,0.000139987729366,-10.40872551368760,-40596.4026784254,-3.34192655519828E-04,-7.40233405678964E-07,3.65792892024507E-09
88,-0.015138965103137,-7.15291502687346,-23729.4703634422,-4.62204986272795E-04,-7.50923838235638E-07,3.59907253935837E-09
89,0.000030000000000,-3.89710454005924,-6862.5380484590,-5.90217317025762E-04,-7.61614270792312E-07,3.54021615847167E-09
90,0.000999914355443,-8.05317096330089,-32267.7112538019,-1.81900247757502E-04,-4.89514531524310E-07,2.42194492162441E-09
91,-0.193096467606179,-4.79736047648666,-15400.7789388187,-3.09912578510469E-04,-5.00204964080984E-07,2.36308854073772E-09
92,0.000599947172898,-1.54154998967244,1466.1533761644,-4.37924909263436E-04,-5.10895396637658E-07,2.30423215985102E-09
93,0.004729576806466,-5.69761641291408,-23939.0198291785,-2.96078399951759E-05,-2.38795657369655E-07,1.18596092300376E-09
94,-2.567945876773370,-2.44180592609986,-7072.0875141953,-1.57620170748143E-04,-2.49486089926329E-07,1.12710454211707E-09
95,0.000129987727281,0.81400456071436,9794.8448007879,-2.85632501501110E-04,-2.60176522483003E-07,1.06824816123037E-09
96,-0.003549678668224,-3.34206186252728,-15610.3284045550,1.22684567767150E-04,1.19232167849992E-08,-5.00230756168818E-11
97,-7.447495135755500,-0.08625137571306,1256.6039104281,-5.32776298581702E-06,1.23278422832532E-09,-1.08879456503579E-10
98,0.005189532346581,3.16955911110116,18123.5362254113,-1.33340093738784E-04,-9.45764832834860E-09,-1.67735837390277E-10
99,-0.000010000000000,6.42536959791538,34990.4685403945,-2.61352424491751E-04,-2.01480808850225E-08,-2.26592218276974E-10
100,-0.000399961588155,-0.98650731214048,-7281.6369799316,2.74976975529476E-04,2.62642090939654E-07,-1.28600707423753E-09
101,-1.161686665126740,2.26930317467374,9585.2953350516,1.46964644776509E-04,2.51951658382980E-07,-1.34486345512423E-09
102,0.002699761559139,5.52511366148796,26452.2276500347,1.89523140235419E-05,2.41261225826306E-07,-1.40371983601092E-09
103,0.000399963312830,1.36904723824632,1047.0544446918,4.27269383291802E-04,5.13360965094308E-07,-2.52199107285818E-09
104,-0.065125428755333,4.62485772506054,17913.9867596750,2.99257052538835E-04,5.02670532537634E-07,-2.58084745374488E-09
105,0.000349968584558,7.88066821187476,34780.9190746582,1.71244721785868E-04,4.91980099980960E-07,-2.63970383463157E-09
106,0.000020000000000,3.72460178863312,9375.7458693153,5.79561791054128E-04,7.64079839248963E-07,-3.75797507147883E-09
107,-0.003409764876031,6.98041227544734,26242.6781842984,4.51549460301161E-04,7.53389406692289E-07,-3.81683145236553E-09
108,0.000030000000000,10.23622276226150,43109.6104992816,3.23537129548194E-04,7.42698974135615E-07,-3.87568783325223E-09
109,-0.000149988593789,9.33596682583414,34571.3696089219,6.03841868063487E-04,1.00410828084694E-06,-5.05281545098618E-09
110,-0.000030000000000,-9.55159526511680,-31429.8598328516,-6.17161275528030E-04,-1.00102632027613E-06,4.78061680972723E-09
111,-0.000349964916526,-7.19604071472999,-23101.1684082281,-4.64868867765704E-04,-7.50307446121476E-07,3.54463281110658E-09
112,0.000020000000000,-8.09629665115742,-31639.4092985879,-1.84564129250410E-04,-4.88898139410147E-07,2.36750519337263E-09
113,-0.004159552811301,-4.84048616434319,-14772.4769836047,-3.12576460003377E-04,-4.99588571966821E-07,2.30864881248593E-09
114,0.000020000000000,-1.58467567752897,2094.4553313785,-4.40588790756345E-04,-5.10279004523495E-07,2.24979243159923E-09
115,0.000079993864683,-5.74074210077061,-23310.7178739644,-3.22717214880845E-05,-2.38179265255492E-07,1.13152119475197E-09
116,-0.051414423754705,-2.48493161395639,-6443.7855589813,-1.60284052241051E-04,-2.48869697812166E-07,1.07266481386528E-09
117,0.000030000000000,0.77087887285783,10423.1467560019,-2.88296382994018E-04,-2.59560130368840E-07,1.01380843297858E-09
118,-0.000159981594049,-3.38518755038381,-14982.0264493410,1.20020686274241E-04,1.25396088991619E-08,-1.04462803868671E-10
119,-0.101348872672155,-0.12937706356959,1884.9058656422,-7.99164447872553E-06,1.84917634248799E-09,-1.63319184755369E-10
120,0.000069993864683,3.12643342324463,18751.8381806253,-1.36003975231692E-04,-8.84125621418594E-09,-2.22175565642067E-10
121,-0.017958046806007,2.22617748681721,10213.5972902656,1.44300763283600E-04,2.52568050497142E-07,-1.39930318337602E-09
122,0.000040000000000,5.48198797363143,27080.5296052488,1.62884325306334E-05,2.41877617940468E-07,-1.45815956426271E-09
123,-0.000949898292460,4.58173203720401,18542.2887148890,2.96593171045926E-04,5.03286924651797E-07,-2.63528718199667E-09
124,-0.000050000000000,6.93728658759081,26870.9801395125,4.48885578808253E-04,7.54005798806452E-07,-3.87127118061732E-09
125,-0.000089987729366,-4.88361185219972,-14144.1750283906,-3.15240341496286E-04,-4.98972179852658E-07,2.25420908423414E-09
126,-0.001079842208932,-2.52805730181292,-5815.4836037672,-1.62947933733960E-04,-2.48253305698004E-07,1.01822508561349E-09
127,-0.001279815942988,-0.17250275142612,2513.2078208562,-1.06555259716340E-05,2.46556845665065E-09,-2.17758913007159E-10
128,-0.000319950917463,2.18305179896068,10841.8992454796,1.41636881790692E-04,2.53184442611305E-07,-1.45374291162781E-09
129,-0.000020000000000,4.53860634934748,19170.5906701031,2.93929289553018E-04,5.03903316765960E-07,-2.68972691024846E-09
130,-0.000020000000000,-2.57118298966945,-5187.1816485531,-1.65611815226868E-04,-2.47636913583841E-07,9.63785357361702E-10
131,0.000109981594010,5.37096955058272,5258.1693241347,-2.24360620902827E-05,2.85932928031101E-08,1.37493159962664E-11
132,0.000020000000000,0.61673476195259,-10770.9115698981,-3.29684759107843E-04,-4.72228063392036E-07,2.43127758498577E-09
133,0.000199975458655,2.97228931233939,-2442.2201452747,-1.77392351345517E-04,-2.21509189237381E-07,1.19529358636512E-09
134,0.002539723908532,5.32784386272619,5886.4712793487,-2.50999435831912E-05,2.92096849172727E-08,-4.06904122555233E-11
135,0.000069993864654,7.68339841311299,14215.1627039721,1.27192464179134E-04,2.79928559071927E-07,-1.27667441087617E-09
136,-0.000010000000000,10.03895296349980,22543.8541285956,2.79484871941461E-04,5.30647433226582E-07,-2.51265840949682E-09
137,0.000049999999981,-1.78194547629074,-18471.3010393075,-4.84641048363078E-04,-7.22330545432528E-07,3.61282185535463E-09
138,0.000249982458376,0.57360907409606,-10142.6096146841,-3.32348640600752E-04,-4.71611671277874E-07,2.37683785673398E-09
139,-0.000039999999981,-0.32664686233136,-18680.8505050438,-5.20439020854587E-05,-2.10202364566545E-07,1.19971023900003E-09
140,0.002289838665198,2.92916362448286,-1813.9181900607,-1.80056232838425E-04,-2.20892797123219E-07,1.14085385811333E-09
141,-0.000319971589319,2.02890768805544,-10352.1590804204,1.00248505676867E-04,4.05165095881093E-08,-3.62737596206154E-11
142,0.043036851617945,5.28471817486966,6514.7732345628,-2.77638250760997E-05,2.98260770314354E-08,-9.51301405073131E-11
143,-0.000069999999971,8.54052866168388,23381.7055495459,-1.55776155829067E-04,1.91356444747614E-08,-1.53986521394010E-10
144,-0.000079999999971,4.38446223844224,-2023.4676557970,2.52540913439193E-04,2.91235383742764E-07,-1.27225775824126E-09
145,-0.000329976316358,7.64027272525646,14843.4646591862,1.24528582686226E-04,2.80544951186090E-07,-1.33111413912796E-09
146,-0.000369977186192,9.99582727564327,23172.1560838096,2.76820990448552E-04,5.31263825340744E-07,-2.56709813774861E-09
147,-0.000049999999981,12.35138182603000,31500.8475084331,4.29113398210878E-04,7.81982699495399E-07,-3.80308213636926E-09
148,0.000020000000000,-6.53618026492087,-34500.3819333404,-7.91889745380639E-04,-1.22315190162767E-06,6.03035012434415E-09
149,0.000140000864375,-4.18062571453407,-26171.6905087169,-6.39597337618313E-04,-9.72433027473020E-07,4.79436612572350E-09
150,-0.000020000000000,-5.08088165096149,-34709.9313990767,-3.59292599103019E-04,-7.11023720761692E-07,3.61723850798954E-09
151,0.000689978915330,-1.82507116414727,-17842.9990840935,-4.87304929855986E-04,-7.21714153318366E-07,3.55838212710284E-09
152,0.000020000000000,1.43073932266694,-976.0667691103,-6.15317260608954E-04,-7.32404585875040E-07,3.49952574621615E-09
153,-0.000109999999962,-2.72532710057469,-26381.2399744532,-2.07000191340693E-04,-4.60304846607037E-07,2.38125450936889E-09
154,-0.006939762185398,0.53048338623953,-9514.3076594701,-3.35012522093660E-04,-4.70995279163711E-07,2.32239812848219E-09
155,0.000129999999952,3.78629387305375,7352.6246555131,-4.63024852846627E-04,-4.81685711720385E-07,2.26354174759550E-09
156,-0.000999949439378,-0.36977255018789,-18052.5485498298,-5.47077835783672E-05,-2.09585972452382E-07,1.14527051074824E-09
157,-0.136355269102656,2.88603793662633,-1185.6162348466,-1.82720114331334E-04,-2.20276405009056E-07,1.08641412986154E-09
158,0.000129999999952,6.14184842344055,15681.3160801365,-3.10732445084301E-04,-2.30966837565730E-07,1.02755774897485E-09
159,0.000020000000000,-1.27002848661531,-26590.7894401895,2.25596954936926E-04,5.18233342589459E-08,-3.18571069857075E-11
160,-0.012809307020413,1.98578200019891,-9723.8571252064,9.75846241839589E-05,4.11329017022720E-08,-9.07134878724052E-11
161,-0.556920029824164,5.24159248701313,7143.0751897768,-3.04277065690083E-05,3.04424691455980E-08,-1.49569868759102E-10
162,0.001549917692733,8.49740297382735,24010.0075047600,-1.58440037321975E-04,1.97520365889241E-08,-2.08426249645800E-10
163,-0.002119888873259,4.34133655058571,-1395.1657005829,2.49877031946285E-04,2.91851775856926E-07,-1.32669748649305E-09
164,-0.120725866322353,7.59714703739993,15471.7666144002,1.21864701193317E-04,2.81161343300252E-07,-1.38555386737975E-09
165,0.000599964713789,10.85295752421410,32338.6989293834,-6.14762955964935E-06,2.70470910743578E-07,-1.44441024826645E-09
166,0.000119999999952,6.69689110097251,6933.5257240405,4.02169439708611E-04,5.42570650011581E-07,-2.56268148511370E-09
167,-0.014829513936804,9.95270158778674,23800.4580390237,2.74157108955644E-04,5.31880217454907E-07,-2.62153786600040E-09
168,0.000119999999952,13.20851207460090,40667.3903540069,1.46144778202676E-04,5.21189784898233E-07,-2.68039424688710E-09
169,0.000010000000000,9.05244565135931,15262.2171486639,5.54461847470937E-04,7.93289524166236E-07,-3.79866548373435E-09
170,-0.001489951694055,12.30825613817350,32129.1494636471,4.26449516717970E-04,7.82599091609562E-07,-3.85752186462105E-09
171,0.000020000000000,15.56406662498770,48996.0817786303,2.98437185965003E-04,7.71908659052888E-07,-3.91637824550775E-09
172,-0.000140000864375,14.66381068856030,40457.8408882706,5.78741924480296E-04,1.03331796576421E-06,-5.09350586324170E-09
173,-0.000010000000000,17.01936523894710,48786.5323128940,7.31034332242622E-04,1.28403683991887E-06,-6.32948986186235E-09
174,-0.000049999999981,-8.93486050316421,-42200.7714027498,-9.46846034635873E-04,-1.47325438366816E-06,7.21189439471301E-09
175,0.000010000000000,-9.83511643959163,-50739.0122931095,-6.66541296120580E-04,-1.21184507695683E-06,6.03476677697905E-09
176,-0.000720005185435,-6.57930595277740,-33872.0799781263,-7.94553626873547E-04,-1.22253550951351E-06,5.97591039609236E-09
177,0.000089999999962,-7.47956188920482,-42410.3208684861,-5.14248888358254E-04,-9.61126202802184E-07,4.79878277835840E-09
178,-0.009550064363670,-4.22375140239060,-25543.3885535029,-6.42261219111221E-04,-9.71816635358858E-07,4.73992639747171E-09
179,0.000020000000000,-0.96794091557638,-8676.4562385197,-7.70273549864188E-04,-9.82507067915532E-07,4.68107001658501E-09
180,0.000689991848705,-5.12400733881802,-34081.6294438626,-3.61956480595928E-04,-7.10407328647529E-07,3.56279877973775E-09
181,-0.128120627113255,-1.86819685200380,-17214.6971288794,-4.89968811348895E-04,-7.21097761204203E-07,3.50394239885106E-09
182,0.000379994852036,1.38761363481041,-347.7648138963,-6.17981142101862E-04,-7.31788193760877E-07,3.44508601796436E-09
183,0.000010000000000,-6.02426327524544,-42619.8703342224,-8.16517420806347E-05,-4.48998021936200E-07,2.38567116200380E-09
184,0.002889963070166,-2.76845278843122,-25752.9380192392,-2.09664072833601E-04,-4.59688454492874E-07,2.32681478111710E-09
185,-1.752965887091730,0.48735769838300,-8886.0057042560,-3.37676403586569E-04,-4.70378887049548E-07,2.26795840023040E-09
186,-0.001419977238587,3.74316818519722,7980.9266107272,-4.65688734339536E-04,-4.81069319606222E-07,2.20910201934371E-09
187,0.000189992261337,-3.66870872485864,-34291.1789095989,7.06406656816914E-05,-1.98279147781546E-07,1.14968716338315E-09
188,-0.023789614548439,-0.41289823804442,-17424.2465946157,-5.73716650712757E-05,-2.08969580338220E-07,1.09083078249645E-09
189,-18.584706631265600,2.84291224876980,-557.3142796326,-1.85383995824243E-04,-2.19660012894893E-07,1.03197440160975E-09
190,0.015979758931841,6.09872273558402,16309.6180353506,-3.13396326577210E-04,-2.30350445451567E-07,9.73118020723060E-10
191,-0.000109999999962,9.35453322239824,33176.5503503338,-4.41408657330177E-04,-2.41040878008241E-07,9.14261639836362E-10
192,0.001229957436846,-1.31315417447184,-25962.4874849755,2.22933073444017E-04,5.24397263731086E-08,-8.62968352374973E-11
193,-0.583309957474458,1.94265631234238,-9095.5551699923,9.49207426910504E-05,4.17492938164346E-08,-1.45153216124195E-10
194,-124.988118369183000,5.19846679915660,7771.3771449909,-3.30915880619168E-05,3.10588612597607E-08,-2.04009597010892E-10
195,0.254285723351458,8.45427728597082,24638.3094599740,-1.61103918814884E-04,2.03684287030868E-08,-2.62865977897590E-10
196,-0.000539980652892,11.71008777278500,41505.2417749573,-2.89116249567851E-04,9.67799614641288E-09,-3.21722358784288E-10
197,0.000109999999962,1.04240037591496,-17633.7960603520,3.75225481206343E-04,3.03158600527763E-07,-1.32228083385814E-09
198,-0.040119365740716,4.29821086272918,-766.8637453689,2.47213150453376E-04,2.92468167971089E-07,-1.38113721474484E-09
199,-8.453098080911920,7.55402134954340,16100.0685696143,1.19200819700409E-04,2.81777735414415E-07,-1.43999359563154E-09
200,0.044499321910299,10.80983183635760,32967.0008845975,-8.81151105255786E-06,2.71087302857741E-07,-1.49884997651824E-09
201,-0.000149996130645,14.06564232317180,49833.9331995807,-1.36823841805525E-04,2.60396870301067E-07,-1.55770635740493E-09
202,-0.000769990986339,6.65376541311598,7561.8276792546,3.99505558215702E-04,5.43187042125744E-07,-2.61712121336549E-09
203,-0.583992229461817,9.90957589993020,24428.7599942377,2.71493227462735E-04,5.32496609569070E-07,-2.67597759425219E-09
204,0.005399924418292,13.16538638674440,41295.6923092210,1.43480896709768E-04,5.21806177012396E-07,-2.73483397513889E-09
205,-0.000029999999990,16.42119687355860,58162.6246242041,1.54685659568011E-05,5.11115744455722E-07,-2.79369035602559E-09
206,-0.000059999999981,9.00931996350278,15890.5191038780,5.51797965978028E-04,7.93905916280398E-07,-3.85310521198614E-09
207,-0.040740229068207,12.26513045031700,32757.4514188612,4.23785635225061E-04,7.83215483723724E-07,-3.91196159287284E-09
208,0.000559994854045,15.52094093713120,49624.3837338444,2.95773304472094E-04,7.72525051167050E-07,-3.97081797375954E-09
209,-0.002850018149732,14.62068500070380,41086.1428434847,5.76078042987387E-04,1.03393435787837E-06,-5.14794559149349E-09
210,0.000049999999981,17.87649548751800,57953.0751584678,4.48065712234420E-04,1.02324392532170E-06,-5.20680197238019E-09
211,-0.000200001728769,16.97623955109060,49414.8342681081,7.28370450749714E-04,1.28465323203303E-06,-6.38392959011414E-09
212,-0.000010000000000,19.33179410147740,57743.5256927315,8.80662858512040E-04,1.53537210618768E-06,-7.61991358873479E-09
213,0.000110000864385,-6.62243164063393,-33243.7780229122,-7.97217508366456E-04,-1.22191911739935E-06,5.92147066784057E-09
214,-0.000010000000000,-7.52268757706136,-41782.0189132720,-5.16912769851162E-04,-9.60509810688021E-07,4.74434305010661E-09
215,0.001549954289389,-4.26687709024713,-24915.0865982888,-6.44925100604130E-04,-9.71200243244695E-07,4.68548666921992E-09
216,-0.000119999999952,-5.16713302667455,-33453.3274886485,-3.64620362088836E-04,-7.09790936533366E-07,3.50835905148596E-09
217,0.022959262222460,-1.91132253986033,-16586.3951736653,-4.92632692841803E-04,-7.20481369090040E-07,3.44950267059927E-09
218,-0.000060000000815,1.34448794695388,280.5371413178,-6.20645023594771E-04,-7.31171801646714E-07,3.39064628971257E-09
219,-0.000709966443848,-2.81157847628775,-25124.6360640251,-2.12327954326510E-04,-4.59072062378712E-07,2.27237505286531E-09
220,0.349648297773841,0.44423201052647,-8257.7037490419,-3.40340285079477E-04,-4.69762494935386E-07,2.21351867197861E-09
221,0.000629965579444,3.70004249734069,8609.2285659413,-4.68352615832444E-04,-4.80452927492060E-07,2.15466229109192E-09
222,-0.000079999999971,-0.45602392590095,-16795.9446394016,-6.00355465641842E-05,-2.08353188224057E-07,1.03639105424466E-09
223,1.077692888544990,2.79978656091327,70.9876755815,-1.88047877317151E-04,-2.19043620780731E-07,9.77534673357968E-10
224,-0.000000000001251,6.05559704772749,16937.9199905647,-3.16060208070118E-04,-2.29734053337405E-07,9.18678292471270E-10
225,0.000170006049642,1.89953062448585,-8467.2532147782,9.22568611981418E-05,4.23656859305973E-08,-1.99592944375984E-10
